product_id,spu_id,sku_id,name,category,brand,model,price,original_price,stock,status,tags,selling_points,specs,warranty,return_policy,shipping_policy,after_sales,recommend_level,recommend_reason
P2011,SPU2009,SKU2009-01,轻行 24 寸拉杆箱,箱包出行,轻行,LX24,329,429,102,on_sale,"万向轮;大容量;防刮","三档拉杆，静音万向轮，适合 5-7 天出行","尺寸:24寸;材质:PC;颜色:深海蓝;锁具:TSA密码锁","箱体 1 年保修，轮子和拉杆 6 个月保修","未使用支持 7 天无理由，托运磨损不属于质量问题","大件商品 48 小时内发货，部分地区运费另计","质量问题支持寄修或补发配件",B,"适合测试大件商品物流和运费规则"
P2012,SPU2010,SKU2010-01,晨光护眼台灯 L6,电脑办公,晨光优品,L6,199,269,260,on_sale,"护眼;调光;定时","支持无频闪调光和 45 分钟定时提醒","色温:3000K-5000K;亮度:5档;功率:12W;供电:插电","整机 1 年保修，灯珠 2 年保修","支持 7 天无理由退货","24 小时内发货","质量问题支持维修或换新",A,"适合办公学习场景推荐"
P2013,SPU2011,SKU2011-01,鲜萃咖啡机 C1,厨房电器,鲜萃,C1,599,799,88,on_sale,"胶囊咖啡;一键萃取;小型","19Bar 压力萃取，适合家用和办公室","压力:19Bar;水箱:0.8L;功率:1200W;适用:标准胶囊","整机 1 年保修，水箱和接水盘 6 个月保修","支持 7 天无理由退货，使用后需保持清洁完整","48 小时内发货","质量问题支持维修或换新",A,"适合测试使用后退货和清洁要求"
P2014,SPU2012,SKU2012-01,牧野多功能电饭煲 R4,厨房电器,牧野,R4 4L,299,399,170,on_sale,"4L容量;预约;多菜单","支持煮饭、煲汤、杂粮饭和 24 小时预约","容量:4L;内胆:不粘涂层;功率:860W;菜单:8种","整机 1 年保修，内胆 6 个月保修","支持 7 天无理由退货，内胆划伤不支持无理由退货","48 小时内发货","质量问题支持维修或换新",B,"适合家庭电器售后问答"
P2015,SPU2013,SKU2013-01,小鹿儿童学习平板 T8,教育电子,小鹿教育,T8 6GB+128GB,1399,1699,56,on_sale,"学习资源;家长管控;护眼","内置小学同步课程和家长管控模式","屏幕:10.4英寸;内存:6GB+128GB;网络:WiFi;护眼:低蓝光","整机 1 年保修，屏幕人为损坏不保修","激活后非质量问题不支持 7 天无理由退货","现货 24-48 小时发货","质量问题支持检测维修",A,"适合测试激活类商品退货限制"
P2016,SPU2014,SKU2014-01,凌风无线吸尘器 V7,生活电器,凌风,V7,899,1199,72,on_sale,"无线;强吸力;多刷头","最高 150AW 吸力，配备地刷、除螨刷和缝隙刷","续航:45分钟;吸力:150AW;尘杯:0.6L;刷头:3个","整机 1 年保修，电池 6 个月保修，滤芯为耗材","支持 7 天无理由退货，使用后需清洁完整","48 小时内发货","质量问题支持维修或换新",A,"适合测试配件、耗材、电池保修"
P2017,SPU2015,SKU2015-01,森活猫砂 6L,宠物用品,森活,豆腐猫砂 6L,39,49,2400,on_sale,"低尘;可冲厕;除味","豆腐猫砂，低粉尘，结团速度快","容量:6L;香型:原味;材质:豆腐砂;适用:猫","非电器商品无保修，质量问题可售后处理","食品和宠物消耗品拆封后非质量问题不支持退货","24 小时内发货，整箱更优惠","破损漏包支持补发或退款",C,"适合测试消耗品和破损补发"
P2018,SPU2016,SKU2016-01,暖阳电热毯 D2,季节家电,暖阳,D2 双人款,189,259,112,on_sale,"双控温;定时;过热保护","双区独立控温，支持 12 小时自动断电","尺寸:180x150cm;档位:6档;功率:120W;安全:过热保护","整机 1 年保修","支持 7 天无理由退货，水洗或破损不支持","48 小时内发货","质量问题支持维修或换新",B,"适合测试季节商品、安全说明"
P2019,SPU2017,SKU2017-01,清润加湿器 H5,生活电器,清润,H5,169,229,305,on_sale,"大水箱;静音;缺水保护","5L 大容量水箱，支持卧室静音加湿","容量:5L;噪音:低至30dB;模式:3档;保护:缺水断电","整机 1 年保修，雾化片 6 个月保修","支持 7 天无理由退货，使用后需清洁干燥","24-48 小时发货","质量问题支持维修或换新",B,"适合测试清洁要求和保修规则"
P2020,SPU2018,SKU2018-01,远行户外双肩包 35L,运动户外,远行者,YX35,229,299,145,on_sale,"大容量;防泼水;轻量","35L 容量，适合短途徒步和通勤","容量:35L;材质:尼龙;颜色:岩灰;防水:防泼水","拉链和扣具 6 个月保修","未使用支持 7 天无理由，户外磨损不属于质量问题","24-48 小时发货","质量问题支持维修或换新",B,"适合测试户外用品磨损争议"
P2021,SPU2019,SKU2019-01,星澜 X1 Pro 原装保护壳,手机配件,星澜科技,X1 Pro Case,59,79,980,on_sale,"原装;防摔;轻薄","适配星澜 X1 Pro，四角加厚防摔","适配:X1 Pro;材质:TPU+PC;颜色:透明灰;重量:32g","配件 3 个月保修","未使用支持 7 天无理由，发黄属于正常老化不保修","24 小时内发货","质量问题支持换新",C,"适合和手机主商品做关联推荐"
P2022,SPU2020,SKU2020-01,云听 AirBuds 5 替换耳塞套,影音配件,云听,AirBuds 5 Tips,29,39,1200,on_sale,"原装配件;三尺寸;亲肤","包含 S/M/L 三种尺寸耳塞套","适配:AirBuds 5;材质:硅胶;规格:S/M/L;数量:6只","耗材类配件无常规保修，质量问题可处理","个人卫生配件拆封后非质量问题不支持退货","24 小时内发货","缺件或破损支持补发",C,"适合测试配件和卫生类退货限制"
P2023,SPU2021,SKU2021-01,净源 A2 复合滤芯,生活电器配件,净源,A2 Filter,99,129,540,on_sale,"HEPA;活性炭;原装","适配净源 A2 桌面空气净化器，建议 3-6 个月更换","适配:A2;类型:HEPA+活性炭;更换周期:3-6个月;数量:1个","耗材不保修，质量问题可售后处理","滤芯拆封使用后不支持无理由退货","24 小时内发货","破损支持补发或退款",C,"适合测试主机和耗材关联查询"
P2024,SPU2022,SKU2022-01,轻音蓝牙音箱 B3,影音娱乐,轻音,B3,249,329,190,on_sale,"低音增强;防水;便携","支持 IPX7 防水和 12 小时续航","连接:蓝牙5.2;续航:12小时;防水:IPX7;功率:10W","整机 1 年保修，电池 6 个月保修","支持 7 天无理由退货","24-48 小时发货","质量问题支持维修或换新",B,"适合影音类商品问答"
P2025,SPU2023,SKU2023-01,简木升降电脑支架 S1,电脑办公,简木,S1,89,119,670,on_sale,"铝合金;折叠;散热","六档高度调节，适合笔记本电脑散热","材质:铝合金;承重:10kg;档位:6档;适配:11-17英寸","支架主体 6 个月保修","支持 7 天无理由退货，划痕影响二次销售不支持","24 小时内发货","质量问题支持换新",C,"适合办公配件推荐"
